rank,shirtnumber,name,team,attacks,blocks,serves,total
123,10,Zuzanna Efimienko-Mlotkowska,POL,29,12,6,47
124,21,Fatma Yildirim,TUR,33,6,8,47
125,2,Sara Alberti,ITA,33,9,4,46
126,11,Tainara Lemes Santos,BRA,38,4,3,45
127,4,Hanyu Yang,CHN,34,5,6,45
128,1,Bianka Busa,SRB,33,4,5,42
129,3,Cansu Özbay,TUR,14,17,11,42
130,16,Indy Baijens,NED,27,8,6,41
131,13,Sarah Wilhite,USA,29,6,6,41
132,21,Miwako Osanai,JPN,38,0,1,39
133,18,Tijana Boškovic,SRB,35,1,3,39
134,11,Amporn Hyapha,THA,27,8,3,38
135,8,Kimberly Drewniok,GER,34,0,3,37
136,3,Macris Fernanda Silva Carneiro,BRA,16,4,15,35
137,8,Chunlei Zeng,CHN,30,4,1,35
138,7,Niverka Dharlenis Marte Frica,DOM,18,9,8,35
139,20,Aya Watanabe,JPN,25,8,2,35
140,22,Jiyun Jeong,KOR,31,2,2,35
141,20,Fang Duan,CHN,31,2,1,34
142,14,Yixin Zheng,CHN,25,6,2,33
143,19,Silke Van Avermaet,BEL,17,8,7,32
144,10,Wilavan Apinyapong,THA,24,1,7,32
145,28,Mayany Cristina Araujo De Souza,BRA,16,13,2,31
146,5,Jana Franziska Poll,GER,25,4,2,31
147,19,Asli Kalac,TUR,14,17,0,31
148,17,Ilka Van De Vyver,BEL,10,8,12,30
149,3,Denise Hanke,GER,23,2,4,29
150,4,Maria Dancheva,BUL,16,8,4,28
151,7,Yuanyuan Wang,CHN,15,12,0,27
152,9,Caterina Chiara Bosetti,ITA,18,4,4,26
153,22,Anna Nicoletti,ITA,21,2,3,26
154,12,Dae Young Jung,KOR,18,6,2,26
155,19,Dayeong Lee,KOR,7,10,9,26
156,5,Ekaterina Orlova,RUS,15,10,1,26
157,7,Tatiana Romanova,RUS,3,14,9,26
158,1,Julia Nowicka,POL,10,3,12,25
159,24,Tichakorn Boonlert,THA,16,7,2,25
160,8,Lauren Gibbemeyer,USA,13,9,1,23
161,25,Karsta Lowe,USA,19,4,0,23
162,7,Lauren Carlini,USA,10,9,3,22
163,16,Xia Ding,CHN,4,4,13,21
164,18,Leonie Schwertmann,GER,11,8,2,21
165,27,Miyu Nakagawa,JPN,17,1,3,21
166,16,Karolina Goliat,BEL,16,2,2,20
167,8,Petya Barakova,BUL,7,5,8,20
168,9,Brankica Mihajlovic,SRB,18,1,1,20
169,13,Nootsara Tomkom,THA,13,1,6,20
170,2,Pia Kästner,GER,14,2,3,19
171,21,Anna Kotikova,RUS,18,0,1,19
172,11,Su Ji Kim,KOR,12,2,4,18
173,8,Sladjana Mirkovic,SRB,6,3,9,18
174,23,Mila Djordjevic,SRB,6,7,5,18
175,2,Jordyn Poulter,USA,4,7,7,18
176,9,Roberta Silva Ratzke,BRA,5,1,10,16
177,7,Lora Kitipova,BUL,10,2,4,16
178,23,Qingqing Du,CHN,11,1,4,16
179,21,Simone Lee,USA,16,0,0,16
180,8,Watchareeya Nuanjam,THA,12,1,2,15
181,12,Dominika Strumilo,BEL,11,1,2,14
182,3,Yvon Belien,NED,7,3,4,14
183,14,Laura Dijkema,NED,8,4,2,14
184,20,Marlena Kowalewska,POL,4,2,8,14
185,19,Hannah Tapp,USA,9,5,0,14
186,4,Nathalie Lemmens,BEL,7,4,2,13
187,13,Hester Jasper,NED,11,2,0,13
188,25,Sofya Kuznetsova,RUS,11,2,0,13
189,20,Jodie Guilliams,BEL,11,1,0,12
190,12,Mariya Karakasheva,BUL,8,3,1,12
191,3,Linyu Diao,CHN,4,4,4,12
192,8,Alessia Orro,ITA,7,3,2,12
193,12,Britt Bongaerts,NED,1,5,6,12
194,14,Joanna Wolosz,POL,7,3,2,12
195,1,Micha Hancock,USA,5,4,3,12
196,23,Francesca Villani,ITA,10,0,1,11
197,12,Miya Sato,JPN,1,3,7,11
198,20,Tessa Polder,NED,7,1,3,11
199,16,Linda Bock,GER,9,0,1,10
200,21,Jovana Kocic,SRB,2,8,0,10
201,11,Di Yao,CHN,3,2,4,9
202,17,Valeriya Zaytseva,RUS,6,1,2,9
203,25,Nanami Seki,JPN,4,0,4,8
204,9,Wanitchaya Luangtonglang,THA,8,0,0,8
205,16,Yasemin Guveli,TUR,5,3,0,8
206,27,Polina Matveeva,RUS,5,2,0,7
207,11,Stefana Veljkovic,SRB,4,2,1,7
208,11,Ezgi Dilik,TUR,1,2,4,7
209,21,Manon Stragier,BEL,1,0,5,6
210,22,Erasma Moreno Martinez,DOM,5,1,0,6
211,19,Olivia Rozanski,POL,4,2,0,6
212,3,Carli Lloyd,USA,1,4,1,6
213,4,Lara Nobre Cardoso G Filomeno,BRA,4,1,0,5
214,15,Ana Carolina Da Silva,BRA,3,2,0,5
215,30,Eunji Choi,KOR,3,0,2,5
