rank,shirtnumber,name,team,running_sets,faults,still_sets,total_attempts,average_per_set
118,10,Wilavan Apinyapong,THA,2,1,12,15,0.04
119,24,Tichakorn Boonlert,THA,2,1,7,10,0.04
120,28,Tikamporn Changkeaw,THA,2,0,8,10,0.04
121,14,Eunjin Park,KOR,2,2,35,39,0.04
122,1,Bianka Busa,SRB,2,0,9,11,0.04
123,12,Teodora Pusic,SRB,2,0,80,82,0.04
124,29,Milica Kubura,SRB,2,1,27,30,0.04
125,5,Simona Dimitrova,BUL,2,1,4,7,0.04
126,7,Yuki Ishii,JPN,2,1,34,37,0.04
127,24,Aika Akutagawa,JPN,2,0,14,16,0.04
128,27,Miyu Nakagawa,JPN,2,0,14,16,0.04
129,1,Angelina Lazarenko,RUS,2,0,20,22,0.04
130,24,Kristina Kurnosova,RUS,2,0,14,16,0.04
131,25,Sofya Kuznetsova,RUS,2,0,1,3,0.04
132,3,Britt Herbots,BEL,2,1,42,45,0.04
133,10,Dominika Sobolska,BEL,2,0,23,25,0.04
134,17,Nicole Oude Luttikhuis,NED,2,0,8,10,0.04
135,18,Marrit Jasper,NED,2,1,19,22,0.04
136,22,Nicole Koolhaas,NED,2,0,5,7,0.04
137,14,Prisilla Rivera Brens,DOM,2,1,39,42,0.03
138,20,Brayelin Elizabeth Martinez,DOM,2,0,47,49,0.03
139,21,Jineiry Martinez,DOM,2,1,39,42,0.03
140,7,Yuanyuan Wang,CHN,2,0,15,17,0.03
141,8,Chunlei Zeng,CHN,2,2,13,17,0.03
142,13,Yan Sun,CHN,2,1,8,11,0.03
143,21,Feifan Ni,CHN,2,0,21,23,0.03
144,11,Anna Danesi,ITA,2,0,22,24,0.03
145,14,Elena Pietrini,ITA,2,1,28,31,0.03
146,18,Paola Ogechi Egonu,ITA,2,2,14,18,0.03
147,22,Anna Nicoletti,ITA,2,0,2,4,0.03
148,10,Zuzanna Efimienko-Mlotkowska,POL,2,2,9,13,0.03
149,15,Martyna Grajber,POL,2,2,32,36,0.03
150,16,Natalia Medrzyk,POL,2,2,32,36,0.03
