rank,shirtnumber,name,team,spikes,faults,shots,total_attempts,success_%
112,8,Alessia Orro,ITA,7,2,7,16,
113,9,Caterina Chiara Bosetti,ITA,18,17,21,56,
114,10,Cristina Chirichella,ITA,42,21,42,105,
115,11,Anna Danesi,ITA,38,17,43,98,
116,13,Sarah Luisa Fahr,ITA,55,14,40,109,
117,16,Lucia Bosetti,ITA,80,35,118,233,
118,17,Miryam Fatime Sylla,ITA,73,27,58,158,
119,18,Paola Ogechi Egonu,ITA,143,62,85,290,
120,22,Anna Nicoletti,ITA,21,12,22,55,
121,23,Francesca Villani,ITA,10,2,17,29,
122,2,Sarina Koga,JPN,59,22,93,174,
123,3,Nana Iwasaka,JPN,32,8,23,63,
124,4,Risa Shinnabe,JPN,75,23,76,174,
125,6,Haruka Miyashita,JPN,1,0,3,4,
126,11,Yurie Nabeya,JPN,79,22,141,242,
127,12,Miya Sato,JPN,1,3,16,20,
128,13,Mai Okumura,JPN,41,11,39,91,
129,20,Aya Watanabe,JPN,25,6,29,60,
130,21,Miwako Osanai,JPN,38,26,44,108,
131,24,Aika Akutagawa,JPN,40,8,38,86,
132,25,Nanami Seki,JPN,4,2,5,11,
133,27,Miyu Nakagawa,JPN,17,11,38,66,
134,9,Juah Lee,KOR,51,13,58,122,
135,11,Su Ji Kim,KOR,12,1,12,25,
136,12,Dae Young Jung,KOR,18,5,8,31,
137,14,Eunjin Park,KOR,27,6,34,67,
138,19,Dayeong Lee,KOR,7,1,14,22,
139,22,Jiyun Jeong,KOR,31,20,58,109,
140,26,Sooji Han,KOR,2,1,1,4,
141,30,Eunji Choi,KOR,3,4,8,15,
142,3,Yvon Belien,NED,7,1,9,17,
143,4,Celeste Plak,NED,55,21,41,117,
144,6,Maret Grothues,NED,45,12,38,95,
145,7,Juliet Lohuis,NED,71,24,79,174,
146,8,Demi Korevaar,NED,3,0,6,9,
147,10,Lonneke Slöetjes,NED,62,23,87,172,
148,11,Anne Buijs,NED,47,14,76,137,
149,12,Britt Bongaerts,NED,1,0,8,9,
150,13,Hester Jasper,NED,11,6,16,33,
151,14,Laura Dijkema,NED,8,3,15,26,
152,16,Indy Baijens,NED,27,25,43,95,
153,17,Nicole Oude Luttikhuis,NED,64,36,99,199,
154,18,Marrit Jasper,NED,78,33,116,227,
155,19,Nika Daalderop,NED,56,15,49,120,
156,20,Tessa Polder,NED,7,4,17,28,
157,21,Annick Meijers,NED,56,30,77,163,
158,22,Nicole Koolhaas,NED,30,3,22,55,
159,26,Sarah Van Aalen,NED,0,1,2,3,
160,30,Anniek Siebring,NED,0,0,2,2,
161,31,Eline Timmerman,NED,34,14,50,98,
162,1,Julia Nowicka,POL,10,2,11,23,
163,3,Klaudia Alagierska,POL,25,13,25,63,
164,4,Kamila Witkowska,POL,38,11,22,71,
165,5,Agnieszka Kakolewska,POL,85,26,73,184,
166,10,Zuzanna Efimienko-Mlotkowska,POL,29,8,19,56,
167,11,Monika Galkowska,POL,3,3,1,7,
168,14,Joanna Wolosz,POL,7,1,7,15,
169,15,Martyna Grajber,POL,55,24,111,190,
170,19,Olivia Rozanski,POL,4,2,10,16,
171,20,Marlena Kowalewska,POL,4,0,11,15,
172,23,Zuzanna Gorecka,POL,1,1,6,8,
173,1,Angelina Lazarenko,RUS,65,18,58,141,
174,3,Ekaterina Efimova,RUS,49,15,51,115,
175,5,Ekaterina Orlova,RUS,15,4,20,39,
176,7,Tatiana Romanova,RUS,3,3,12,18,
177,12,Daria Ryseva,RUS,0,1,3,4,
178,13,Evgeniya Startseva,RUS,2,0,0,2,
179,16,Irina Voronkova,RUS,60,27,54,141,
180,17,Valeriya Zaytseva,RUS,6,2,10,18,
181,19,Mariia Khaletskaia,RUS,77,36,83,196,
182,20,Maria Vorobyeva,RUS,0,5,3,8,
183,21,Anna Kotikova,RUS,18,9,22,49,
184,23,Olga Zubareva,RUS,2,3,6,11,
185,25,Sofya Kuznetsova,RUS,11,10,9,30,
186,27,Polina Matveeva,RUS,5,1,3,9,
187,29,Victoriia Russu,RUS,2,4,6,12,
188,1,Bianka Busa,SRB,33,23,37,93,
189,4,Emilija Zakic,SRB,1,0,1,2,
190,5,Mina Popovic,SRB,45,5,30,80,
191,6,Maja Savic,SRB,31,12,29,72,
192,7,Katarina Jovic,SRB,1,3,10,14,
193,8,Sladjana Mirkovic,SRB,6,2,16,24,
194,9,Brankica Mihajlovic,SRB,18,11,27,56,
195,11,Stefana Veljkovic,SRB,4,0,1,5,
196,13,Ana Bjelica,SRB,103,38,118,259,
197,14,Maja Aleksic,SRB,50,20,60,130,
198,18,Tijana Boškovic,SRB,35,10,28,73,
199,20,Jelena Blagojevic,SRB,39,11,60,110,
200,21,Jovana Kocic,SRB,2,1,12,15,
201,22,Sara Lozo,SRB,79,39,112,230,
202,23,Mila Djordjevic,SRB,6,0,8,14,
203,24,Aleksandra Cirovic,SRB,1,0,0,1,
204,28,Ana Pejicic,SRB,1,2,2,5,
205,29,Milica Kubura,SRB,65,36,108,209,
206,1,Wipawee Srithong,THA,3,1,2,6,
207,5,Pleumjit Thinkaow,THA,99,14,86,199,
208,8,Watchareeya Nuanjam,THA,12,5,19,36,
209,9,Wanitchaya Luangtonglang,THA,8,3,4,15,
210,10,Wilavan Apinyapong,THA,24,9,34,67,
211,11,Amporn Hyapha,THA,27,6,33,66,
212,13,Nootsara Tomkom,THA,13,0,20,33,
213,21,Gullapa Piampongsan,THA,1,1,1,3,
214,23,Jutarat Montripila,THA,4,3,6,13,
215,24,Tichakorn Boonlert,THA,16,7,17,40,
216,3,Cansu Özbay,TUR,14,3,23,40,
217,5,Seyma Ercan,TUR,43,19,65,127,
218,6,Kubra Caliskan,TUR,78,21,61,160,
219,7,Hande Baladin,TUR,79,30,86,195,
220,8,Buse Unal,TUR,0,0,1,1,
221,11,Ezgi Dilik,TUR,1,1,9,11,
222,12,Gözde Yilmaz,TUR,85,35,98,218,
223,13,Meryem Boz,TUR,63,21,81,165,
224,16,Yasemin Guveli,TUR,5,4,11,20,
225,18,Zehra Gunes,TUR,98,31,64,193,
226,19,Asli Kalac,TUR,14,6,17,37,
227,21,Fatma Yildirim,TUR,33,24,65,122,
228,1,Micha Hancock,USA,5,0,11,16,
229,2,Jordyn Poulter,USA,4,4,7,15,
230,3,Carli Lloyd,USA,1,1,6,8,
231,6,Tetori Dixon,USA,30,4,35,69,
232,7,Lauren Carlini,USA,10,1,12,23,
233,8,Lauren Gibbemeyer,USA,13,4,8,25,
234,9,Madison Kingdon Rishel,USA,54,17,75,146,
235,10,Jordan Larson,USA,58,19,79,156,
236,12,Jordan Thompson,USA,102,32,107,241,
237,13,Sarah Wilhite,USA,29,7,50,86,
238,14,Michelle Bartsch-Hackley,USA,76,27,81,184,
239,18,Mikaela Foecke,USA,75,14,93,182,
240,19,Hannah Tapp,USA,9,1,3,13,
241,20,Dana Rettke,USA,56,8,37,101,
242,21,Simone Lee,USA,16,6,16,38,
243,22,Haleigh Washington,USA,54,9,42,105,
244,23,Kelsey Robinson,USA,110,42,101,253,
245,24,Chiaka Ogbogu,USA,100,17,53,170,
246,25,Karsta Lowe,USA,19,3,28,50,
