rank,shirtnumber,name,team,digs,faults,receptions,total_attempts,average_per_set
264,3,Yvon Belien,NED,2,1,4,7,0.04
265,8,Demi Korevaar,NED,2,1,1,4,0.04
266,20,Tessa Polder,NED,2,1,2,5,0.04
267,13,Yan Sun,CHN,2,0,1,3,0.03
268,8,Buse Unal,TUR,2,0,1,3,0.03
269,19,Olivia Rozanski,POL,2,2,0,4,0.03
270,23,Zuzanna Gorecka,POL,2,0,1,3,0.03
271,1,Wipawee Srithong,THA,1,0,0,1,0.02
272,26,Sooji Han,KOR,1,0,4,5,0.02
273,7,Katarina Jovic,SRB,1,0,1,2,0.02
274,11,Stefana Veljkovic,SRB,1,0,1,2,0.02
275,28,Ana Pejicic,SRB,1,0,0,1,0.02
276,17,Elena Becheva,BUL,1,0,2,3,0.02
277,20,Mariya Krivoshiyska,BUL,1,1,2,4,0.02
278,25,Britt Rampelberg,BEL,1,1,0,2,0.02
279,11,Marifranchi Rodriguez,DOM,1,2,3,6,0.02
280,22,Erasma Moreno Martinez,DOM,1,2,1,4,0.02
281,11,Monika Galkowska,POL,1,1,0,2,0.01
282,4,Lara Nobre Cardoso G Filomeno,BRA,1,0,1,2,0.01
283,15,Ana Carolina Da Silva,BRA,1,3,1,5,0.01
284,13,Mirela Shahpazova,BUL,0,0,1,1,
285,4,Selma Hetmann,GER,0,1,0,1,
286,18,Jungwon Moon,KOR,0,1,1,2,
287,14,Chitaporn Kamlangmak,THA,0,0,1,1,
288,19,Hannah Tapp,USA,0,2,1,3,
