rank,shirtnumber,name,team,aces,faults,hits,total_attempts,average_per_set
106,5,Mingyuan Hu,CHN,6,10,86,102,0.09
107,10,Cristina Chirichella,ITA,6,17,99,122,0.09
108,21,Manon Stragier,BEL,5,5,30,40,0.09
109,10,Lonneke Slöetjes,NED,5,12,36,53,0.09
110,10,Zuzanna Efimienko-Mlotkowska,POL,6,7,46,59,0.08
111,12,Jordan Thompson,USA,6,11,68,85,0.08
112,13,Sarah Wilhite,USA,6,10,41,57,0.08
113,6,Onuma Sittirak,THA,4,14,89,107,0.08
114,16,Yonkaira Paola Peña Isabel,DOM,5,15,62,82,0.08
115,3,Denise Hanke,GER,4,15,61,80,0.08
116,7,Nele Barber,GER,4,6,58,68,0.08
117,11,Su Ji Kim,KOR,4,5,13,22,0.08
118,6,Maja Savic,SRB,4,9,68,81,0.08
119,22,Sara Lozo,SRB,4,15,76,95,0.08
120,17,Miryam Fatime Sylla,ITA,5,9,53,67,0.07
121,4,Maria Dancheva,BUL,4,2,29,35,0.07
122,7,Lora Kitipova,BUL,4,6,64,74,0.07
123,25,Nanami Seki,JPN,4,4,30,38,0.07
124,11,Margarita Kurilo,RUS,4,10,91,105,0.07
125,18,Kseniia Parubets,RUS,4,13,102,119,0.07
126,5,Agnieszka Kakolewska,POL,5,18,160,183,0.07
127,3,Yvon Belien,NED,4,2,19,25,0.07
128,12,Natalia Pereira,BRA,5,9,81,95,0.07
129,24,Lorenne Geraldo Teixeira,BRA,5,8,62,75,0.07
130,18,Mikaela Foecke,USA,5,14,82,101,0.07
131,20,Brayelin Elizabeth Martinez,DOM,4,10,164,178,0.06
132,2,Ting Zhu,CHN,4,3,76,83,0.06
133,3,Linyu Diao,CHN,4,2,34,40,0.06
134,11,Di Yao,CHN,4,3,74,81,0.06
135,23,Qingqing Du,CHN,4,1,30,35,0.06
136,11,Amporn Hyapha,THA,3,13,69,85,0.06
137,21,Gullapa Piampongsan,THA,3,5,16,24,0.06
138,2,Sara Alberti,ITA,4,4,85,93,0.06
139,9,Caterina Chiara Bosetti,ITA,4,3,29,36,0.06
140,7,Hande Baladin,TUR,4,9,67,80,0.06
141,11,Ezgi Dilik,TUR,4,5,88,97,0.06
142,2,Pia Kästner,GER,3,5,61,69,0.06
143,8,Kimberly Drewniok,GER,3,7,22,32,0.06
144,6,Hyejin An,KOR,3,2,25,30,0.06
145,18,Tijana Boškovic,SRB,3,4,15,22,0.06
146,29,Milica Kubura,SRB,3,13,46,62,0.06
147,4,Kamila Witkowska,POL,4,15,58,77,0.06
148,27,Miyu Nakagawa,JPN,3,1,35,39,0.06
149,19,Mariia Khaletskaia,RUS,3,5,83,91,0.06
150,5,Ana Paula Borgo Bedani Guedes,BRA,4,12,122,138,0.05
151,10,Dominika Sobolska,BEL,3,16,98,117,0.05
152,4,Celeste Plak,NED,3,5,29,37,0.05
153,18,Marrit Jasper,NED,3,8,82,93,0.05
154,20,Tessa Polder,NED,3,1,21,25,0.05
155,21,Annick Meijers,NED,3,16,35,54,0.05
156,22,Nicole Koolhaas,NED,3,6,58,67,0.05
157,8,Candida Estefany Arias Perez,DOM,3,8,85,96,0.05
158,22,Anna Nicoletti,ITA,3,13,33,49,0.04
159,13,Meryem Boz,TUR,3,7,35,45,0.04
160,11,Tainara Lemes Santos,BRA,3,4,30,37,0.04
161,1,Micha Hancock,USA,3,6,40,49,0.04
162,6,Tetori Dixon,USA,3,10,76,89,0.04
163,7,Lauren Carlini,USA,3,11,103,117,0.04
164,8,Watchareeya Nuanjam,THA,2,3,32,37,0.04
165,24,Tichakorn Boonlert,THA,2,9,68,79,0.04
166,5,Jana Franziska Poll,GER,2,1,39,42,0.04
167,18,Leonie Schwertmann,GER,2,5,39,46,0.04
168,12,Dae Young Jung,KOR,2,7,27,36,0.04
169,22,Jiyun Jeong,KOR,2,10,19,31,0.04
170,30,Eunji Choi,KOR,2,5,8,15,0.04
171,2,Sarina Koga,JPN,2,7,46,55,0.04
172,20,Aya Watanabe,JPN,2,2,38,42,0.04
173,17,Valeriya Zaytseva,RUS,2,5,13,20,0.04
174,4,Nathalie Lemmens,BEL,2,1,38,41,0.04
175,12,Dominika Strumilo,BEL,2,3,16,21,0.04
176,16,Karolina Goliat,BEL,2,2,16,20,0.04
177,14,Laura Dijkema,NED,2,6,98,106,0.04
178,19,Nika Daalderop,NED,2,2,41,45,0.04
179,14,Yixin Zheng,CHN,2,6,39,47,0.03
180,17,Ni Yan,CHN,2,3,65,70,0.03
181,5,Ofelia Malinov,ITA,2,17,129,148,0.03
182,8,Alessia Orro,ITA,2,3,62,67,0.03
183,14,Joanna Wolosz,POL,2,4,69,75,0.03
184,15,Martyna Grajber,POL,2,9,158,169,0.03
185,28,Mayany Cristina Araujo De Souza,BRA,2,6,46,54,0.03
186,9,Madison Kingdon Rishel,USA,2,8,51,61,0.03
187,1,Wipawee Srithong,THA,1,1,12,14,0.02
188,10,Lena Stigrot,GER,1,6,58,65,0.02
189,16,Linda Bock,GER,1,7,10,18,0.02
190,9,Brankica Mihajlovic,SRB,1,4,12,17,0.02
191,11,Stefana Veljkovic,SRB,1,1,4,6,0.02
192,12,Mariya Karakasheva,BUL,1,0,16,17,0.02
193,6,Haruka Miyashita,JPN,1,3,24,28,0.02
194,21,Miwako Osanai,JPN,1,5,37,43,0.02
195,5,Ekaterina Orlova,RUS,1,3,54,58,0.02
196,21,Anna Kotikova,RUS,1,8,17,26,0.02
197,23,Olga Zubareva,RUS,1,4,16,21,0.02
198,29,Victoriia Russu,RUS,1,1,6,8,0.02
199,2,Elise Van Sas,BEL,1,2,10,13,0.02
200,6,Maret Grothues,NED,1,6,49,56,0.02
201,14,Prisilla Rivera Brens,DOM,1,10,145,156,0.02
202,8,Chunlei Zeng,CHN,1,3,45,49,0.02
203,20,Fang Duan,CHN,1,1,33,35,0.02
204,23,Francesca Villani,ITA,1,0,18,19,0.01
205,8,Buse Unal,TUR,1,2,12,15,0.01
206,3,Carli Lloyd,USA,1,1,35,37,0.01
207,8,Lauren Gibbemeyer,USA,1,3,18,22,0.01
208,15,Jutta Van De Vyver,BEL,0,0,9,9,
209,20,Jodie Guilliams,BEL,0,1,12,13,
210,25,Britt Rampelberg,BEL,0,0,3,3,
211,4,Lara Nobre Cardoso G Filomeno,BRA,0,0,4,4,
212,6,Julia Isabelle Bergmann,BRA,0,3,5,8,
213,15,Ana Carolina Da Silva,BRA,0,3,8,11,
214,25,Milka Marcília Medeiros Silva,BRA,0,0,2,2,
215,13,Mirela Shahpazova,BUL,0,0,4,4,
216,17,Elena Becheva,BUL,0,2,3,5,
217,20,Mariya Krivoshiyska,BUL,0,3,9,12,
218,25,Silvia Andreeva,BUL,0,1,0,1,
219,7,Yuanyuan Wang,CHN,0,6,52,58,
220,11,Marifranchi Rodriguez,DOM,0,0,10,10,
221,12,Yokaty Perez Flores,DOM,0,1,7,8,
222,22,Erasma Moreno Martinez,DOM,0,0,6,6,
223,4,Selma Hetmann,GER,0,0,9,9,
224,13,Denise Imoudu,GER,0,5,18,23,
225,23,Natalie Wilczek,GER,0,2,9,11,
226,5,Hyo Hee Lee,KOR,0,0,11,11,
227,18,Jungwon Moon,KOR,0,2,1,3,
228,26,Sooji Han,KOR,0,0,10,10,
